name,confirm,tests,date,pos_new,test_new,pos_rate,pos_rate_gam,case
Anderson,10,270,2020-04-21,10,270,0.037037037037037,0.0578299420543177,276.421139640157
Anderson,14,282,2020-04-22,4,12,0.333333333333333,0.0571226573617211,110.43247586981
Anderson,14,297,2020-04-23,0,15,0,0.0564291003602506,0
Anderson,16,329,2020-04-24,2,32,0.0625,0.0557576638404019,55.0828534713426
Anderson,16,337,2020-04-25,0,8,0,0.0551193713900356,0
Anderson,18,337,2020-04-26,2,0,1,0.0545269053332278,54.9600422768088
Anderson,19,360,2020-04-27,1,23,0.0434782608695652,0.0539937701248621,27.4530336737943
Anderson,23,360,2020-04-28,4,0,1,0.0535335937878833,109.718183477009
Anderson,23,397,2020-04-29,0,37,0,0.0531595621928877,0
Anderson,29,416,2020-04-30,6,19,0.315789473684211,0.0528839732536579,164.376464636892
Anderson,30,415,2020-05-01,1,0,1,0.0527178917730016,27.3874615512159
Anderson,32,430,2020-05-02,2,15,0.133333333333333,0.0526708813688572,54.7700366681224
Anderson,32,431,2020-05-03,0,1,0,0.0527507879746385,0
Anderson,32,458,2020-05-04,0,27,0,0.0529635498183701,0
Anderson,34,NA,2020-05-05,2,27.6666666666667,0.072289156626506,0.0533130113186838,54.8364453039928
Anderson,38,592,2020-05-06,4,28.3333333333333,0.141176470588235,0.0538007227928473,109.772809557726
Anderson,40,621,2020-05-07,2,29,0.0689655172413793,0.0544257138987117,54.9498342236983
Anderson,41,658,2020-05-08,1,37,0.027027027027027,0.0551842361882073,27.512970406713
Anderson,41,677,2020-05-09,0,19,0,0.0560694786710569,0
Anderson,41,710,2020-05-10,0,33,0,0.0570712696722293,0
Anderson,41,724,2020-05-11,0,14,0,0.058175787959538,0
Anderson,50,786,2020-05-12,9,62,0.145161290322581,0.0593653155306188,249.431767932407
Anderson,50,800,2020-05-13,0,14,0,0.0606180725854265,0
Anderson,51,822,2020-05-14,1,22,0.0454545454545455,0.0619081809328794,27.8311262734238
Anderson,52,824,2020-05-15,1,2,0.5,0.063205804007557,27.8889185199515
Anderson,54,836,2020-05-16,2,12,0.166666666666667,0.0644775084929987,55.8890590459674
Anderson,54,857,2020-05-17,0,21,0,0.0656868832023249,0
Anderson,54,1008,2020-05-18,0,151,0,0.0667954348892835,0
Anderson,60,1034,2020-05-19,6,26,0.230769230769231,0.0677637584063445,168.502743534995
Anderson,61,1046,2020-05-20,1,12,0.0833333333333333,0.0685529515838707,28.1163274955759
Anderson,63,1057,2020-05-21,2,11,0.181818181818182,0.0691262158111352,56.2795027208306
Anderson,64,1094,2020-05-22,1,37,0.027027027027027,0.0694505549964561,28.1529266958191
Anderson,66,NA,2020-05-23,2,27.3333333333333,0.0731707317073171,0.0694984622089576,56.309736182104
Anderson,66,1152,2020-05-24,0,17.6666666666667,0,0.069249468690685,0
Anderson,66,1160,2020-05-25,0,8,0,0.0686914271693753,0
Anderson,66,1165,2020-05-26,0,5,0,0.067821412400351,0
Anderson,66,1167,2020-05-27,0,2,0,0.0666461467676543,0
Anderson,66,1176,2020-05-28,0,9,0,0.0651818958241765,0
Anderson,72,1183,2020-05-29,6,7,0.857142857142857,0.0634538242649985,167.399057311482
Anderson,72,1190,2020-05-30,0,7,0,0.0614948518466511,0
Anderson,72,1191,2020-05-31,0,1,0,0.0593440951609292,0
Anderson,72,1263,2020-06-01,0,72,0,0.0570450189787733,0
Anderson,76,1276,2020-06-02,4,13,0.307692307692308,0.0546434449439998,109.943555058708
Anderson,78,1311,2020-06-03,2,35,0.0571428571428571,0.0521855727027989,54.7193611711212
Anderson,85,1347,2020-06-04,7,36,0.194444444444444,0.0497161583722337,190.591607817148
Anderson,87,1400,2020-06-05,2,53,0.0377358490566038,0.0472769697834135,54.1814890457909
Anderson,85,1450,2020-06-06,0,50,0,0.0449056014724404,0
Anderson,85,1599,2020-06-07,0,149,0,0.0426346908036971,0
Anderson,85,1606,2020-06-08,0,7,0,0.040491535880854,0
Anderson,91,1620,2020-06-09,6,14,0.428571428571429,0.0384980812049757,159.239621364584
Anderson,91,NA,2020-06-10,0,11,0,0.0366712118540373,0
Anderson,95,1627,2020-06-11,4,8,0.5,0.0350232826510062,105.160260604122
Anderson,95,1632,2020-06-12,0,5,0,0.0335628048958543,0
Anderson,102,1634,2020-06-13,7,2,1,0.0322952177980455,182.544116200743
Anderson,102,2035,2020-06-14,0,401,0,0.0312236820497715,0
Anderson,102,2568,2020-06-15,0,533,0,0.0303498462114838,0
Anderson,989,2679,2020-06-16,887,111,1,0.0296745502034137,22936.0175243828
